SKU #,Picture,Description,Price,Materials,Title of Piece,Length/Weight
SW-30,SW30,"A necklace of one hundred and seventy-one lapis lazuli beads, twenty-three of which are double drilled pendant beads of an elongated form. Each of these are faced with 22k gold granulated ring beads. There are ninety-two of these gold beads in the necklace. The hook and eye clasp and beading tips are also 22k gold. The pendant beads are drilled at the mid point and also near the top.  The ends are pointed and the beads are flat on the back and curved on the front side with the thickest part at the center. There are sets of parallel grooves at the top and bottom ends; There are three to five grooves on the top ends and five to seven grooves on the bottom ends. The largest bead is 4.1 cm in height and 7 mm in width. The thickness at the center is 9.8 mm. The diameter of the drill hole is 2.5mm. The smallest double drilled bead at the back of the necklace is 1.6 cm in height, 5mm in width and 7mm in thickness at the center. The drill hole diameter is 2mm.  There are groups of three small lapis lazuli beads between each of the pendant beads.  These are 3.5 mm in width, 2 mm in length with drill holes of 1.5mm.  There are two larger lapis beads at the back of the necklace into which the two strands meet. These are 6 mm in width and 5.5 mm in length. 
   The pendant beads have been selected to match. There are typically variations in the form of these beads (see SW-13 and  M-21 for examples). In this necklace, the center bead is slightly different with three groups of three grooves; usually the grooves are only near the ends but in this one there is a group of three lines in the middle of the bead. The beads have also been selected for color. The dark blue lapis contrasts with the 22k gold of the granulated beads and clasp. 
     The pendant beads have an unusual form that appears to us to be larval.  There are jade beads found in tombs in western China that are said to depict silk worms. They date to about the same period as our lapis beads, to about two thousand years ago. Perhaps the forms of these lapis pendant beads were derived in some way from the Chinese jade beads. These beads come from the Swat Valley in northern Pakistan. Two thousand years ago, this area was part of the trans Himalayan culture that included influences from ancient India, Persia, Tibet and China through the Silk Road.","$7,500.00","Lapis Lazuli, 22k gold",,"The necklace is 14 ½ inches (36.5cm) in length.
The necklace weighs 63.5 gm. "
SW-31,SW31,"A necklace of twenty-seven carnelian beads, nine of which are artificially patterned (“etched” carnelians), alternating with twenty-eight lapis lazuli beads. Each stone bead is separated by a granulated 22k gold ring bead, fifty-four in all. The beading tips and hook and eye clasp are also 22k gold. 
   The center bead is a tabular etched carnelian 1.7 cm in width, 6.2mm in thickness at the center and tapering to 3.6mm thickness at the edge. The drill hole is 2.5mm in diameter. The carnelian is translucent so that when held up to the light it can be sen that he drill hole is one continuous drilling, and not two holes drilled from each end that meet in the center of the bead. This also reveals some internal cracks; the larger one emerges on the back of the bead but does not extend to the front.  These appear to be caused by the heat treating that is part of the process of “etching” the white line into the face of the bead.  This is done by applying a strong alkaline substance (such as natron ) mixed with a vegetable gum extracted from plants and then heating the bead until the applied design fuses with the stone matrix of the bead. This process was perfected by the Harrapan civilization over four thousand years ago. There was a second period of production two thousand years ago and later during the Sassanian period in Persia after 525 A.D.  This single circle, “eye” bead is typical of the earliest period.  The two lozenge shaped tabular carnelian beads are likewise etched with an infinity or “eyeglass” pattern on both sides. These beads are 9mm and 9.5 mm in height, 5.5mm and 6mm in width, and 4mm in thickness.  The drill holes are 1.5mm in diameter.  This pair is typical of the middle period of production.  There are an additional six carnelian bicones that are etched with two white bands. One of these is 1cm in length; the remaining ones are 1.1cm in length. They are 4mm, 4.5mm in width at the centers and 3.2mm in width at the ends.  The drill hole diameters are 1.5mm in diameter.  This type is also typical of the earliest period, but the size of the drill holes suggests that all of these beads are from two thousand years ago, the middle period. The twenty-eight lapis beads that alternate with the carnelians are from 6mm to 9 mm in length and 3.5mm to 4.5 mm in width. The ends are slightly rounded.  The drill holes are 2.5mm in diameter. There are an additional eighteen small carnelian beads3.5mm in width and 3mm in length. The drill hole diameters are 2mm. These beads came from the Swat Valley region of northern Pakistan. Two thousand years ago, this area was part of the trans Himalayan culture that included influences from ancient India, Persia, Tibet and China through the Silk Road.","$3,000.00","Carnelian, Lapis Lazuli, 22k gold",,"The necklace is 17 1/8 inches (43.5cm) in length.
The necklace weighs 17.3 gm."
SW-32,SW32,"A necklace of small lapis lazuli and turquoise disc beads with alternating carnelian “spar” beads and round tabular carnelian beads. There are also four carnelian beads with four trapezoidal sides. A pair of lapis lazuli drop pendants terminate the two free hanging strands that extend downward from the body of the carnelian turtle that is the focus of the necklace. The turtle is rendered in an abstracted form. The tabular body with a head extending from one end, is flat on the back side; the sides are notched with a single groove to indicate legs and the head is likewise delineated by rounding both the “shell” and the head which is distinguished from the body by grinding inwards to form a neck.  A small groove on the top of the head (parallel to the length of the body) is the basis for rounding the protuberances to form the eyes.  A groove across the front of the head indicates a mouth. The economy of means used to suggest the parts of the turtle recalls the strategies of abstraction employed by recent modernist art; however this piece is probably about two thousand years old. The turtle is 1.5cm from nose to tail.  The bead is 1.1cm in width and 5cm in thickness.  The parallel drill holes emerge from two notches at the back of the shell (which suggest a tail) and at the shoulders on either side of the head on the front side.  The drill holes are 1.5mm in diameter.     
    The lapis and turquoise disc beads are 3mm in width and length with drill holes of about 1mm.  The tabular carnelian beads are 4mm in width and 3mm in thickness. They have drill holes of 1mm diameter.  The carnelian “spars” are 10mm to 11mm in length and are drilled across their centers which are 3.5mm in width.  The ends are pointed. The four trapezoidal beads are 4mm in length and 3.25mm in thickness. The beads have two sets of facing sides that are each tapered on alternating sides.   
      The carnelian beads are from the Swat Valley area of northern Pakistan and are probably two thousand years old. The lapis and turquoise beads are from farther north in present day Afghanistan and are probably even older. The beading tips and hook and eye clasp are fine silver.","$1,550.00","Carnelian, Lapis Lazuli, Turquoise, Silver",,"The necklace is 17 ½ inches (45.4cm) in length.
The necklace weighs 9.7 gm.  "
SW-33,SW33,"A necklace of lapis lazuli, turquoise and carnelian beads with 22k gold granulated ring beads and a carnelian pendant bead at the center. The  pendant is 1.55 cm in height, 9mm in width at the widest point and 5.5mm thick.  There is a groove extending from the top center down the front to the notch between the two lobes at the bottom. The back side is similarly grooved. The symbolic meaning of the pendant is unknown; the form is reminiscent of an insect, perhaps a moth or beetle with wings folded. We know that insects were used for symbolic expression in ancient Egypt: the dung beetle rolling its sphere of dung in front of it was associated with the power that caused the sun to move across the sky. Hence the scarab was used as an amulet to evoke this power. They also used the fly as the image of quickness and tenacity, and gold fly pendants were awarded to generals by the Pharaoh for valor and success in battle.   
     The twenty six carnelian beads are four sided with pairs of opposite triangular faces. They range in length from 7mm to 4.5mm. The width is 6mm to 4.5mm with drill hold diameters of 1.5mm.  There are also twenty-six barrel shaped lapis lazuli beads which alternate with the carnelian beads. They graduate in size from 5.5mm to 3.8mm in length and 4mm in width to 3mm. Between each of the carnelian and lapis beads are groups of two turquoise disc beads with a granulated gold ring bead separating the two. The one hundred eight turquoise beads are 3mm in width and 2mm-3mm in length. There are fifty-four granulated ring beads of 22k gold. The beading tips and hook and eye clasp are also 22k gold.
     The beads are two thousand years old and come from the Swat Valley area in northern Pakistan.","$3,000.00","Carnelian, Lapis Lazuli, Turquoise, 22k gold",,"The necklace is 24 inches (60.2 cm) in length. 
The necklace weighs 17.6gm"
SW-34,SW34,"A necklace of one hundred three lapis lazuli beads. There are twenty-five longer barrel shaped beads alternating with groups of three shorter beads of rounded shape. The center bead is 1.7 cm in length, 1.07 cm in width at the widest point and7.2mm wide at the ends. The hole diameter is 3.9mm. The diameters of the round beads on either side are 9mm – 1cm. They are 6mm – 8 mm in length and the hole diameters are 2mm – 3mm. The smallest beads at the back of the necklace are 5mm in diameter and 3mm in length. The drill hole diameters are 1.5mm.
     The necklace is a mixture of various colors of blue and mixtures of white and blue with some of the beads having iron pyrite (“fools' gold”) inclusions. The random progression of the color variations is balanced by the structured composition of the alternating lengths as well as the graduation in size from the front to the back of the necklace. This necklace is an example of all the variations in color that can occur in lapis lazuli beads. The beading tips and hook and eye clasp are fine (999) silver. The beads are around two thousand years old and come from the Swat Valley region of northern Pakistan.",$900.00,"Lapis Lazuli, Silver",,"The necklace is 28 3/4 inches (63.3 cm) in length.
The necklace weighs 63.6 gm."
SW-35,SW35,"A necklace of thirty lapis lazuli beads, thirty carnelian beads and sixty silver granulated ring beads. Fifteen of the lapis lazuli beads are bi-cones and fourteen of them are round. There is a pair of small lapis barrel shaped beads at the back of the necklace.  The carnelian beads are round and alternate with the lapis beads. The lapis beads alternate in shapes- round and bi-cone- and there is a granulated silver ring bead between each of the stone beads. The larger lapis bi-cone beads are faceted. Eight of these are six sided. One of these has four sides and an additional four smaller sides resulting from an off set tapering of the ends. This bead is 2.06 cm in length, 7mm in width at the center, and 4.5mm in width at the ends. The drill hole diameter is 2.5mm. The center bead is 1.6cm in length, 8.4mm in width at the center and 4.5mm in width at the ends. The drill hole diameter is 2mm. The remaining faceted beads are 1.7mm-1.8mm in length, with the smallest being 1.4mm in length. The six smaller bi-cone beads are not faceted; they are 1 cm in length ( one is 1.18cm) and 6mm in width at the center and  4mm at the ends. The drill hole diameters are 2.8mm. The round beads are 5.5mm- 6mm in diameter and have drill holes of 1.6mm. The two small barrel beads are 5.5mm in length and 4mm in width. The holes are 2mm in diameter.   The carnelian beads are mostly round  (three are slightly oval) with diameters of 6.5mm and graduating in size towards the back to a diameter of 5mm. The drill hole diameters are  2mm.  Seven of the longer lapis bi-cone beads have extensive end wear; the ends are angled to almost forty-five degrees.  This is evidence that the beads have had a long history of use. The granulated silver beads and beading tips and hook and eye clasp are all Fine silver (999).",$900.00,"Carnelian, Lapis Lazuli, Silver",,"The necklace is 22 ¼ inches (56.7cm)  in length.
The necklace weighs 32.5 gm."
SW-38,SW38,"A necklace of seventy-seven lapis lazuli beads with a large bi-conical carnelian bead at the apex. The carnelian bead is faced with a pair of granulated silver beads. The lapis lazuli beads graduate in size towards the back of the necklace. The pair of round beads on either side of the carnelian bead are 8.5mm  in length and 1cm in diameter with drill holes 2mm in  diameter. The smallest beads at the back of the necklace are 4mm in length and 5mm in diameter. The drill hole diameters are 2mm. Many of the beads have large holes, some as large as 3mm.
     The centerpiece of the necklace is the large carnelian bi-cone bead with a striking combination of warm yellow and orange. It could easily be mistaken for amber. It is faced with two granulated silver beads. Each is composed of ten granules in a star pattern. The beading tips and hook and eye clasp are also fine silver (999).",$800.00,"Lapis Lazuli, Carnelian, Silver",,"The necklace is 21 ½ inches (54.5cm) in length.
The necklace weighs 56.5 gm."
SW-39,SW39,"A necklace of thirty-four round lapis lazuli beads and five long barrel shaped carnelian beads each of which are faced with a granulated silver bead. Two of the carnelian beads are figured with bands of opaque white and translucent clear quartz. The center bead is slightly flattened, oval in cross section. The center bead is 2.6 cm in length, 1.15 cm in width at the widest point, 9mm thick and has a drill hold diameter of 1.5mm. The long bead on the right side of the necklace in the photograph is 3.4 cm in length, 1.09 cm in width at the center and 5mm in width at the ends. The drill hole diameter is 1.5mm. The long bead on the opposite side of the necklace is 3.8 cm in length and 9.8mm in width at the center and 4.5mm in width at the ends. The drill hole diameter is 1.5mm. The darker bead to the back of this one (left side of the photograph) is 2.25 cm in length, 9.3mm in width at the center and 6mm wide at the ends. The hole is 1.5mm in diameter. Its opposite in the necklace, (carnelian with quartz banding), is 2.8 cm in length, 9.5mm in width at the center and 6mm in width at the ends. The diameter of the drill hole is 1.5mm. The lapis beads at the center of the necklace are 1 cm in diameter and 7mm-8mm in length decreasing in size to 5mm in diameter at the back of the necklace. The drill holes are 1.5mm-2mm in diameter. 
       The beads are from the Swat Valley in northern Pakistan and are about two thousand years old. The beads and beading tips and hook and eye clasp are all fine (999) silver.","$1,800.00","Lapis Lazuli, Carnelian, Silver",,"The necklace is 16 ¾ inches (42.5 cm) in length.
The necklace weighs 46.5 gm."
SW-40,SW40,"A necklace of eighty-eight lapis lazuli beads, five “bow-shaped” carnelian beads and two four sided triangular faced carnelian beads, with each of the bow beads faced with granulated silver beads. The granulated silver beads are composed of twenty-five grains.  The beading tips and hook and eye clasp are also fine (999) silver. The lapis lazuli beads are predominately disc shaped and graduate in size towards the back of the necklace. The largest ones are 7mm in diameter and 3mm in length and decrease to 5mm in diameter and 2.5 mm in length.  There are about a dozen barrel shaped lapis beads interspersed throughout the graduated strand. The drill holes are from 1.5mm to 2mm in diameter.  The color is uniformly dark blue and contrasts with the orange bow beads. The carnelian bow beads are 1.6cm to 1.8 cm in length and 8mm to 10mm in width at the center. The center bead, 1.7cm in length and 1.05cm in width at the center and 5mm in width at the ends, is the thickest at 6.5mm. The next pair back are almost identical in size, 1.5cm in length, 9mm in width at the center, 5mm in width at the ends and 6mm in thickness. The pair at the back are also almost identical in size: 1.75cm in length, 7.5mm in width at the center and 4mm in width at the ends and 5mm in thickness. All the bow beads have drill holes of 1.75mm diameter. There is a pair of carnelian beads at the very back of the necklace with four sides each of which is triangular. Each pair of opposing sides point the same way; the other pair face opposite. These beads are 6mm in length and 6mm in width at the base of each triangle.","$2,000.00","Lapis Lazuli, Carnelian, Silver",,"The necklace is 18 7/8 inches (30 cm) in length.
The necklace weighs 30 gm.  "
SW-41,SW41,"A necklace of thirty-six lapis lazuli beads with five large bow shaped carnelian beads. There are sixteen barrel shaped lapis beads and twenty round lapis beads. The round and barrel shapes alternate so that between each carnelian bow bead there is a module of three beads, a barrel bead with a round one on either side of it. All the stone beads are separated by a granulated silver bead, forty in all. Twenty of them are star-shaped with ten grains and twenty of them are five grains in each bead. The beading tips and hook and eye clasp are also fine (999) silver.     
     The bow shaped beads are relatively large for their type. The one furthest to the back on the right side of the photograph is 2.38 cm in length, 1 cm in width at the center, and 5mm in width at the ends. The bead is  6.5mm in thickness at the center and 3.6mm thick at the ends.  The drill hole is 1.75mm in diameter. The next one forward is 3.15cm in length, 1.05 cm in width at the center and 5mm wide at the ends.  It is 6.5mm in thickness at the center and 4mm in thickness at the ends. The drill hole is 1.75mm in diameter. The center bead is 2.4 cm in length, 1.35mcm in width at the center and 5.5 mm in width at the ends. The bead is 7mm in thickness at the center and 4.5mm thick at the ends.  The drill hole is 1.8mm in diameter.  The next bead is 3.25 cm in length, 1.22 cm in width at the center and 1,58cm in width at the ends. The bead is 7 mm thick at the center and 4mm thick at the ends. The drill hole is 1.75mm in diameter.  The last bead on the left is 2cm in length and 1.1cm in width at the center. It is 5.5mm in width at the ends, 6.4mm in thickness at the center and 3.5 mm in thickness at the ends. The drill hole is 1.8mm in diameter. 
     The lapis lazuli beads are graduated in size from the front to the back of the necklace. The larger ones to the front are 7mm in width, the round ones are 4mm in length and the barrels are 1cm – 1.1 cm in length. At the back the beads are 4.5mm – 5mm in width. The round ones are 3.5mm – 4mm in length. The barrels are 7mm – 7.5mm in length. The diameters of the drill holes on the lapis beads are all 1.5mm – 1.75mm. The beads are from the Swat Valley in northern Pakistan. The beads were made about two thousand years ago. This was a period of the integration of many regional cultures and included influences from India, the ancient Indus River culture from two thousand years before, as well as the trans- Himalayan culture and through the Silk Road, China.","$2,000.00","Lapis Lazuli, Carnelian, Silver",,"The necklace is 18 3/8 inches (46.8 cm) in length.
The necklace weighs 35.3 gm. "
SW-42,SW42,"A necklace of sixty-seven lapis lazuli beads and sixty-six granulated silver beads alternating. The center pendant bead is similar to the form of an animal tooth, bulging slightly in the center and tapering to a long point. The lapis beads alternate: seventeen round beads alternate with sixteen long beads. The long beads are rectangular solids. Ten of the larger ones are corner-less cube forms with four extra facets on each end at the corners resulting in the four major faces being diamond shaped. The center pendant is 1.6 cm in length, 4.5mm in thickness and in width with a drill hole of 2mm. The round beads on either side are 4.5mm in diameter and 4mm in length. The drill hole is 1.9mm in diameter. The long corner-less cube bead is 1.2cm in length, 4.5mm in width and thickness and the drill hole diameter is 2mm. The beads graduate in size towards the back of the necklace. The small round beads at the back are 3mm in diameter. The long beads are 7mm in length and 4mm in width and thickness. The hole diameters are 1.5mm. Animal teeth are among the first ornaments used by paleolithic man, along with shells which can be found on the beach with holes already in them. These lapis beads come from the Swat Valley in northern Pakistan. They were made about two thousand years ago.","$1,200.00","Lapis Lazuli, Silver",,"The necklace is 21 3/8 inches (54.4 cm) in length.
The necklace weighs 20.5 gm."
SW-43,SW43,"A necklace of forty-five lapis lazuli beads and eighteen carnelian beads. Fifteen of the lapis beads are long cylinders and fifteen of the carnelian beads are long barrel shaped beads. Each of the lapis tube beads are faced with a granulated silver bead, thirty-two in all, and each of the carnelian beads is faced with a lapis lazuli bead. At the center of the necklace there are an additional pair of carnelian beads on either side of the long lapis lazuli center bead. The center bead is 2.9 cm in length, 8mm in width and has a drill hole diameter of 3mm. The pair of carnelian beads to either side are also 8mm in width. They are short discs 3.25mm in length with drill hole diameters of 2mm. The pair of lapis beads to either side are similar in dimension but the drill holes are much smaller, about 1mm. The pair of carnelian barrel shaped beads are as follows: 1.5 cm in length, 7.7 mm in width at the center, 4.5 mm in width at the ends and drill hole diameter of 2mm. The second one is 1.7 cm in length, 7.5mm in width at the center and 5.5mm wide at the ends. The drill hole diameter is 1.5mm. The remaining carnelian barrels are 1.4 cm – 1.75 cm in length and 6mm in width. Most have holes of 1.5mm diameter. The third bead back from the center on the left side of the photograph has a larger hole diameter, 2.75mm and it is 1.7cm in length and 6mm in width at the center. It is slightly flattened so that the width is 6.5mm when measured a quarter turn from the original measurement. These differences from the other carnelian beads dates this from an earlier period. It may be more than a thousand years older than carnelians with smaller drill holes which are about two thousand years old. The lapis tubes are graduated in size towards the back of the necklace. In the front they are 1.4 cm in length, and the decrease in length by about 1mm until at the back they are about 9mm in length. The thickness decreases slightly to about 5mm. The drill hole diameters on the tubes is 2mm. There are thirty-two granulated silver beads in the necklace. Thirty of these are composed of ten grains in a five pointed star arrangement. The beading tips and hook and eye clasp are also fine (999) silver.","$1,200.00","Lapis Lazuli, Carnelian, Silver",,"The necklace is 22 3/8 inches (57 cm) in length.
The necklace weighs 37.8 gm."
SW-44,SW44,"A necklace of fifteen carnelian beads, nine of which are long tapered beads and six of which are shorter barrel shaped carnelian tubes. There are fifty lapis beads in the necklace which graduate in size towards the back of the necklace. These are slightly irregular short cylinders that have been rounded on the edges. There are groups of three lapis beads between each of the long carnelian beads. Each of the stone beads is separated by a granulated silver bead. Forty-six are star shaped arrangements of ten grains, sixteen are composed of five grains. The beading tips and hook and eye clasp are also fine (999) silver.
     The long carnelian tubes at the front of the necklace are of the following dimensions: the center bead is 3.18 cm in length, 9mm in width at the center, 5mm wide at the ends and has a drill hole of 1.5mm. The two darker carnelian beads to either side have lengths of 2.45 cm and 2.7 cm. The longer is 8mm in width at the center and 5mm in width at the ends. The shorter is 7.3mm in width at the center and 5mm in width at the ends. The drill hole diameters are 1.5mm. Of the next set of two, the longer (pictured above) is 4 cm in length, 7mm in width at the center, and 4mm in width at the ends. The drill hole diameter is 1.5mm. Its opposite in the necklace is 3.33 cm in length, 7.5 mm in width at the center and 4.5 mm in width at the ends. The drill hole diameter is 2.75 mm. The ends are slightly angled from wear. The larger drill hole and the end wear indicate that this is a bead from an earlier period. It is perhaps one thousand years older that the other carnelians which are themselves about two thousand years old. The third group back from the center share the same profile, not tapering as much until at the end they round off more sharply giving them a rounded shoulder. The longer is 3.06 cm in length, 6.6mm in width at the center, and 3mm in width at the ends. The drill hole is 1.5 mm. The shorter of the two is 2.5 cm in length, 6.5mm in width at the center and 3.8mm in width at the ends. The drill hole diameter is 1.5mm. Of the fourth pair of carnelian beads, the longer is 2.75 cm in length, 6.5 mm in width at the center, and 4.9mm in width at the ends. The drill hole diameter is 1.5mm. Its opposite is 2.12 cm in length, 7.5mm in width at the center and 5mm in width at the ends. The drill hole diameter is 1.5mm. The six small carnelian beads are all about 1.2 cm in length and 5mm in width. They have drill hole diameters of 1.5mm.  The lapis beads are around 7mm in width at the front of the necklace and vary in length from 4mm to 7.5 mm. They graduate in size to the back of the necklace where they are 5.5mm in width and 4mm – 5mm in length. The drill holes are also 1.5mm in diameter. 
     The beads (with the exception noted above) are abut two thousand years old. They come from the Swat Valley in northern Pakistan. The necklace is deigned to showcase the beauty of the long carnelian tube beads. The blue lapis contrasts with the orange carnelian. The slightly irregular sizes of the lapis allow subtle adjustments in the lengths between the carnelian beads which are not uniform in size allowing the impression of symmetry to be maintained. The silver beads also impart a visual accent to the structure and emphasize the regularity of three lapis beads between each carnelian bead. There are also three colors in the necklace, another instance of the use of three in the compositional structure.","$3,000.00","Carnelian, Lapis Lazuli, Silver",,"The necklace is 28 3/8 inches (72.5 cm) in length. 
The necklace weighs 54.8 gm."
SW-45,SW45,"A necklace of ninety banded black and white agate beads, seventeen of which are barrel shaped and seventy-three of which are round. The barrel shaped beads are each faced with granulated silver beads; there are thirty-four of these silver beads. The beading tips and hook and eye clasp are also fine (999) silver.
     The largest barrel bead in the center of the necklace is 1.08cm in length, 7mm in width at the widest part, and 4mm wide at the ends. The bead is slightly flattened in shape. The width on the flattened side at the center is 5.5 mm. The drill hole diameter is 1.5mm. The barrel beads graduate in size towards the back. The smallest pair at the back are 5mm – 6mm in length, 4mm in width and have hole 1mm in diameter. The round beads at the center are 7mm in width and length, with the drill hole diameter being 2mm. The round beads graduate in size towards the back of the necklace. The smallest round beads are 4mm in diameter with drill holes of 1mm in diameter. Most of the agate beads are black with white banding but some are a dark brown color with white banding. The necklace is structured so that every fifth bead is a barrel bead. These have been faced with a pair of granulated silver beads to visually accent the difference in shape from the round beads. The beads come from the Swat Valley area of northern Pakistan. They were made about two thousand years ago. They are identical to beads found in India dating from the Kushan Period and were probably made in ancient India.","$2,000.00","Agate, Silver",,"The necklace is 22 ¾ inches (58 cm) in length.
The necklace weighs 28 gm. "
SW-46,SW46,"A necklace of thirty-eight black and white agate barrel shaped beads alternating with granulated silver beads. The largest barrel bead at the center of the necklace is 1 cm in length, 6.2mm in width at the center and 4mm in width at the ends. The drill hole diameter is 1.5mm. The beads graduate in size towards the back of the necklace. The smallest barrel bead at the back is 6.5mm in length, 3.8mm in width, drill hole diameter of 1.5mm. The two beads at the very back of the necklace are straight cylinders, unlike the barrel shapes of the rest of the necklace. These two beads are not ancient; they are the product of Idar-Oberstein and are modern. They have been put into the necklace for purposes of comparison. The silver beads are composed of ten small grains and five larger grains. There are thirty-seven of them. The beading tips and the hook and eye clasp are also fine (999) silver. The beads are two thousand years old and come from the Swat Valley in northern Pakistan.","$2,250.00","Agate, Silver",,"The necklace is 16 5/8 inches (42.5 cm) in length.
The necklace weighs 20 gm."
,,,,,, 
SW-48,SW48,"A necklace of eighteen rock crystal beads and forty lapis lazuli beads alternating with fifty-eight granulated silver beads. The necklace is structured so that every third stone bead is a crystal bead. There are a number of different shapes: the center bead is a six sided bi-cone shape, the smaller pair are round, the next pair are rectangular solids, there is a pair of smaller six sided bi-cones, and so on.  The center bead is 1.7 cm in length, 1 cm wide at the center and 5mm wide at the ends. It is flattened: the narrow dimension at the center is 7.5mm and 4mm at the ends. The drill hole is 2.1mm. The round beads are 8mm in diameter and 5.5 -6mm in length. The longer rectangular solid is 1.1 cm in length, 9mm in width and 5.8mm in thickness. The drill hole diameter is 1.5mm.  The smallest crystal beads at the back are cuboid with rounded edges which produces a lobed effect. They are 5mm wide and 4mm in length. The holes are 1mm in diameter. The lapis beads are slightly irregular flattened spheres. At the center they are 7.5mm in diameter and 5mm in length. At the back they decrease in size to 5mm in diameter and 3mm in length. Most of the drill holes are 1.5mm.  
     The drilling technique is clearly visible in the clear crystal beads. The holes are drilled from each end to meet in the center of the bead. On some of the rectangular solids (and others in the necklace as well), it can be easily seen that the hole was drilled about 80% of the way before it was turned around and drilled from the opposite side. The granulated beads, the beading tips and the hook and eye clasp are all fine (999) silver. The crystal and lapis beads come from the Swat Valley in northern Pakistan. They are about two thousand years old.","$2,000.00","Rock Crystal, Lapis Lazuli, Silver",,"The necklace is 17 ¾ inches (45 cm) in length.
The necklace weighs 34.5gm."
SW-49,SW49,"A necklace of fifty-five carnelian beads alternating with fifty-four 22k gold tube beads. Fifty-three of the carnelian beads are of an unusual form being long spar shapes pointed on each end and drilled through the middle. The width at the middle where the hole goes through is 3mm on the largest beads in the center of the necklace and 2mm at the back. The longest “spars” are 1.3 cm in height and the smallest is 6mm. The drill holes are small, 1.5mm-2mm in diameter. There are two very small carnelian beads (2mm) at the back of the necklace between the last gold tube bead and the beading tips. The gold tubes are 2mm in width and 5mm in length. The beading tips and hook and eye clasp are 22k gold. 
     The carnelian “spars” are well matched for size and color. A few show some chemical staining from exposure to alkaline soil which causes some whitening. Many of the beads have very slight chipping and minor wear, especially to the pointed ends which is hardly noticeable. The graduation of size from front to back of the spars alternating with the gold tubes gives an effect of delicacy and lightness. These beads come from the Swat Valley in northern Pakistan and are around two thousand years old.","$4,450.00","Carnelian, 22k gold",,"The necklace is 18 ½ inches (47 cm) in length.
The necklace weighs 15.5 gm."
SW-50,SW50,"A necklace of fifty-two carnelian “spars” alternating with groups of three turquoise disc beads. The carnelian beads graduate slightly in size from the front of the necklace to the back. The height of the “spars” at the center is 1.2 cm and the smallest at the back is 8mm. The width (across at the perforation) is 3.5mm at the front of the necklace and 2.5mm in width at the back. The drill holes are small, 1mm-1.3mm. The turquoise beads also graduate in size: 3mm in diameter down to 2.6mm. The beading tips and clasp are fine silver.","$1,525.00","Carnelian, Turquoise, Silver",,"The necklace is 16 ½ inches (42 cm) in length.
The necklace weighs 10 gm."
,,,,,,
SW-52,SW52,"A necklace of thirty-one round or slightly oblate rock crystal beads alternating with disc beads of lapis lazuli. The largest bead at the center is 1.4 cm in length and 1.5 cm in width. The diameter of the drill holes is 1.5mm-2mm. The smallest crystal bead is 7mm in diameter. The lapis lazuli disc beads are narrow, 3.5-2.3mm and graduate in width from 6.8mm at the front to 4.8mm at the back. The rock crystal ranges from very clear to milky or cloudy translucency and some beads show internal fractures which produce optical effects. The drilling is mostly straight through with holes of 2mm diameter, but a few of the beads have holes drilled from both sides that meet about two thirds the way through. These seem to be the ones where the hole has gone off center and the drilling from the other side is an expedient to correct the deviation. The beads are about two thousand years old and come from the Swat Valley of present day northern Pakistan. The clasp and beading tips are fine silver.","$1,150.00","Rock Crystal, Lapis Lazuli, Silver",,"The necklace is 16 3/8 inch (41.7cm) in length.
The necklace weighs 58 gm."
SW-53,SW53,"A necklace of fifty-five lapis lazuli beads, twenty-six small agate barrel beads, twenty-seven granulated silver beads, and a carved lapis lazuli bead strung pendant with an ancient garnet bead used as the stop. The beading tips and hook and eye clasp are also fine silver. The agate barrel beads are each faced with a lapis lazuli barrel bead and these groups of three are each separated by a silver ring bead. At the apex of the necklace the two strands feed into a lapis disc and then a three layered granulated silver bead below which hangs the carved lapis bead. The pendant bead is 1.3 cm in height and is roughly a rectangular solid but wider at one end. At the widest, it is 1.05 cm, at the narrow end is is 7mm. It is about 1cm thick. The diameter of the drill hole is about 2.5mm. The form is ambiguous, but one interpretation is that it is the head of a lion. If that is the case, then the two bulges at the top are the eyes, the grooved protuberance below the garnet bead is the chin (and beard?) and the notched mass above the garnet bead is the snout and nose. This may not be correct as the side view seen below seems to convey another image. Perhaps it was meant to be read as two different things depending on which way it was held and viewed. Although we cannot decipher the precise meaning of the bead, we can still appreciate it as a talisman and amulet. The barrel beads are all around 5mm in width and their lengths vary from 1.3 cm to 5mm. The drill holes are from 1mm – 2mm in diameter.","$3,500.00","Lapis Lazuli, Agate, Silver",,"The necklace is 25 inches (63.5 cm) in length.
The necklace weighs 24.5 gm."
